2024-08-21 11:51:12, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-21 11:52:12, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-21 11:53:12, Temp: 46.2°C, Freq: 1800.457088 MHz
2024-08-21 11:54:12, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-21 11:55:12, Temp: 46.7°C, Freq: 1800.457088 MHz
2024-08-21 11:56:12, Temp: 41.3°C, Freq: 1800.404352 MHz
2024-08-21 11:57:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 11:58:12, Temp: 40.9°C, Freq: 1800.457088 MHz
2024-08-21 11:59:12, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-21 12:00:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 12:01:12, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-21 12:02:12, Temp: 41.8°C, Freq: 1800.404352 MHz
2024-08-21 12:03:12, Temp: 41.3°C, Freq: 1800.404352 MHz
2024-08-21 12:04:12, Temp: 40.4°C, Freq: 1800.457088 MHz
2024-08-21 12:05:12, Temp: 39.4°C, Freq: 1800.457088 MHz
2024-08-21 12:06:12, Temp: 45.7°C, Freq: 1800.404352 MHz
2024-08-21 12:07:12, Temp: 42.3°C, Freq: 600.16992 MHz
2024-08-21 12:08:12, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-21 12:09:12, Temp: 40.9°C, Freq: 1800.404352 MHz
2024-08-21 12:10:12, Temp: 44.3°C, Freq: 1800.404352 MHz
2024-08-21 12:11:12, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-21 12:12:12, Temp: 39.9°C, Freq: 1800.457088 MHz
2024-08-21 12:13:12, Temp: 41.3°C, Freq: 1000.2656 MHz
2024-08-21 12:14:12, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-21 12:15:12, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-21 12:16:12, Temp: 46.2°C, Freq: 1800.404352 MHz
2024-08-21 12:17:12, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-21 12:18:12, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-21 12:19:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 12:20:12, Temp: 40.9°C, Freq: 600.16992 MHz
2024-08-21 12:21:12, Temp: 43.8°C, Freq: 1800.404352 MHz
2024-08-21 12:22:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 12:23:12, Temp: 42.8°C, Freq: 800.191424 MHz
2024-08-21 12:24:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 12:25:12, Temp: 41.3°C, Freq: 900.228544 MHz
2024-08-21 12:26:12, Temp: 42.8°C, Freq: 900.228544 MHz
2024-08-21 12:27:12, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-21 12:28:12, Temp: 41.8°C, Freq: 900.228544 MHz
2024-08-21 12:29:12, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-21 12:30:12, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-21 12:31:12, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-21 12:32:12, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-21 12:33:12, Temp: 47.7°C, Freq: 800.191424 MHz
2024-08-21 12:34:12, Temp: 46.7°C, Freq: 700.20704 MHz
2024-08-21 12:35:12, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-21 12:36:12, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-21 12:37:12, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-21 12:38:12, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-21 12:39:12, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-21 12:40:12, Temp: 47.7°C, Freq: 1800.404352 MHz
2024-08-21 12:41:12, Temp: 50.6°C, Freq: 1800.457088 MHz
2024-08-21 12:42:12, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-21 12:43:12, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-21 12:44:12, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-21 12:45:12, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-21 12:46:12, Temp: 45.7°C, Freq: 1800.404352 MHz
