2024-08-16 08:18:44, Temp: 41.3°C, Freq: 1800.404352 MHz
2024-08-16 08:19:44, Temp: 40.9°C, Freq: 1800.457088 MHz
2024-08-16 08:20:44, Temp: 46.2°C, Freq: 1800.457088 MHz
2024-08-16 08:21:44, Temp: 43.3°C, Freq: 1200.287104 MHz
2024-08-16 08:22:44, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-16 08:23:44, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-16 08:24:44, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-16 08:25:44, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-16 08:26:44, Temp: 46.2°C, Freq: 1800.404352 MHz
2024-08-16 08:27:44, Temp: 45.7°C, Freq: 1800.404352 MHz
2024-08-16 08:28:44, Temp: 46.7°C, Freq: 1800.404352 MHz
2024-08-16 08:29:44, Temp: 46.2°C, Freq: 1800.404352 MHz
2024-08-16 08:30:44, Temp: 46.7°C, Freq: 1800.404352 MHz
2024-08-16 08:31:44, Temp: 46.7°C, Freq: 1800.457088 MHz
2024-08-16 08:32:44, Temp: 47.7°C, Freq: 1800.404352 MHz
2024-08-16 08:33:44, Temp: 47.2°C, Freq: 1800.404352 MHz
2024-08-16 08:34:44, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-16 08:35:44, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-16 08:36:44, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-16 08:37:44, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-16 08:38:44, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-16 08:39:44, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-16 08:40:44, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-16 08:41:44, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-16 08:42:44, Temp: 49.1°C, Freq: 1100.249984 MHz
2024-08-16 08:43:44, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-16 08:44:44, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-16 08:45:44, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-16 08:46:44, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-16 08:47:44, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-16 08:48:44, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-16 08:49:44, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-16 08:50:44, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-16 08:51:44, Temp: 50.6°C, Freq: 1800.457088 MHz
2024-08-16 08:52:44, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-16 08:53:44, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-16 08:54:44, Temp: 51.1°C, Freq: 1800.404352 MHz
2024-08-16 08:55:44, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-16 08:56:44, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-16 08:57:44, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-16 08:58:44, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-16 08:59:44, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-16 09:00:44, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-16 09:01:44, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-16 09:02:44, Temp: 51.6°C, Freq: 1100.30272 MHz
2024-08-16 09:03:44, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:04:44, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:05:45, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:06:45, Temp: 52.1°C, Freq: 1800.404352 MHz
2024-08-16 09:07:45, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:08:45, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-16 09:09:45, Temp: 52.5°C, Freq: 1800.404352 MHz
2024-08-16 09:10:45, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:11:45, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-16 09:12:45, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-16 09:13:45, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-16 09:14:45, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-16 09:15:45, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-16 09:16:45, Temp: 53.5°C, Freq: 1800.457088 MHz
