2024-08-16 12:47:21, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 12:48:21, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-16 12:49:21, Temp: 40.4°C, Freq: 1800.404352 MHz
2024-08-16 12:50:21, Temp: 40.4°C, Freq: 1800.404352 MHz
2024-08-16 12:51:21, Temp: 41.3°C, Freq: 1800.404352 MHz
2024-08-16 12:52:21, Temp: 40.4°C, Freq: 1800.457088 MHz
2024-08-16 12:53:21, Temp: 41.8°C, Freq: 1100.249984 MHz
2024-08-16 12:54:21, Temp: 41.8°C, Freq: 1800.457088 MHz
2024-08-16 12:55:21, Temp: 41.3°C, Freq: 1800.404352 MHz
2024-08-16 12:56:21, Temp: 41.8°C, Freq: 1800.404352 MHz
2024-08-16 12:57:21, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-16 12:58:21, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-16 12:59:21, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-16 13:00:21, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-16 13:01:22, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-16 13:02:22, Temp: 42.3°C, Freq: 1800.404352 MHz
2024-08-16 13:03:22, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-16 13:04:22, Temp: 42.3°C, Freq: 1800.457088 MHz
2024-08-16 13:05:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:06:22, Temp: 43.3°C, Freq: 1800.404352 MHz
2024-08-16 13:07:22, Temp: 44.3°C, Freq: 1800.404352 MHz
2024-08-16 13:08:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:09:22, Temp: 42.8°C, Freq: 1800.457088 MHz
2024-08-16 13:10:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:11:22, Temp: 44.3°C, Freq: 1800.404352 MHz
2024-08-16 13:12:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:13:22, Temp: 43.3°C, Freq: 1100.30272 MHz
2024-08-16 13:14:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:15:22, Temp: 43.3°C, Freq: 1800.404352 MHz
2024-08-16 13:16:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:17:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:18:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:19:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:20:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:21:22, Temp: 43.8°C, Freq: 1800.404352 MHz
2024-08-16 13:22:22, Temp: 43.8°C, Freq: 1800.404352 MHz
2024-08-16 13:23:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:24:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:25:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:26:22, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-16 13:27:22, Temp: 44.3°C, Freq: 1100.249984 MHz
2024-08-16 13:28:22, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-16 13:29:22, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-16 13:30:22, Temp: 42.8°C, Freq: 1100.249984 MHz
2024-08-16 13:31:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:32:22, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-16 13:33:22, Temp: 44.3°C, Freq: 1800.404352 MHz
2024-08-16 13:34:22, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-16 13:35:22, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-16 13:36:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:37:22, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-16 13:38:22, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-19 08:57:10, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-19 08:58:10, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-19 08:59:10, Temp: 45.2°C, Freq: 1800.404352 MHz
2024-08-19 09:00:10, Temp: 45.7°C, Freq: 1800.457088 MHz
2024-08-19 09:01:10, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-19 09:02:10, Temp: 45.2°C, Freq: 1800.404352 MHz
2024-08-19 09:03:10, Temp: 44.8°C, Freq: 1100.30272 MHz
2024-08-19 09:04:10, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-19 09:05:10, Temp: 45.2°C, Freq: 1800.404352 MHz
2024-08-19 09:06:10, Temp: 45.2°C, Freq: 1800.404352 MHz
2024-08-19 09:07:10, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-19 09:08:10, Temp: 44.3°C, Freq: 1800.404352 MHz
2024-08-19 09:09:10, Temp: 44.8°C, Freq: 1100.30272 MHz
2024-08-19 09:10:10, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-19 09:11:10, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-19 09:12:10, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-19 09:13:10, Temp: 44.8°C, Freq: 1800.404352 MHz
2024-08-19 09:14:10, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-19 09:15:10, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-19 09:16:10, Temp: 45.7°C, Freq: 1800.457088 MHz
2024-08-19 09:17:10, Temp: 45.7°C, Freq: 1800.457088 MHz
2024-08-19 09:18:10, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-19 09:19:10, Temp: 45.2°C, Freq: 1800.404352 MHz
2024-08-19 09:20:10, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-19 09:21:10, Temp: 45.2°C, Freq: 1800.457088 MHz
