2024-08-19 12:45:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:46:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:47:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:48:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:49:38, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 12:50:38, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 12:51:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:52:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:53:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:54:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:55:38, Temp: 61.3°C, Freq: 1800.457088 MHz
2024-08-19 12:56:38, Temp: 61.3°C, Freq: 1800.404352 MHz
2024-08-19 12:57:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:58:38, Temp: 60.3°C, Freq: 1800.404352 MHz
2024-08-19 12:59:38, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-19 13:00:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 13:01:39, Temp: 60.3°C, Freq: 1800.404352 MHz
2024-08-19 13:02:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:03:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:04:39, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 13:05:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:06:39, Temp: 61.3°C, Freq: 1800.457088 MHz
2024-08-19 13:07:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:08:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:09:39, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 13:10:39, Temp: 60.8°C, Freq: 1800.457088 MHz
2024-08-19 13:11:39, Temp: 61.3°C, Freq: 1800.404352 MHz
2024-08-19 13:12:39, Temp: 61.8°C, Freq: 1800.457088 MHz
2024-08-19 13:13:39, Temp: 60.8°C, Freq: 1800.457088 MHz
2024-08-19 13:14:39, Temp: 60.8°C, Freq: 1800.457088 MHz
2024-08-19 13:15:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:16:39, Temp: 60.8°C, Freq: 1800.457088 MHz
2024-08-19 13:17:39, Temp: 61.8°C, Freq: 1800.457088 MHz
2024-08-19 13:18:39, Temp: 62.3°C, Freq: 1800.457088 MHz
2024-08-19 13:19:39, Temp: 62.3°C, Freq: 1800.457088 MHz
2024-08-19 13:20:39, Temp: 61.8°C, Freq: 1800.457088 MHz
2024-08-19 13:21:39, Temp: 61.8°C, Freq: 1800.404352 MHz
2024-08-19 13:22:39, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 13:23:39, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-19 13:24:39, Temp: 58.4°C, Freq: 1800.404352 MHz
2024-08-19 13:25:39, Temp: 47.7°C, Freq: 1800.404352 MHz
2024-08-19 13:26:39, Temp: 44.3°C, Freq: 1800.457088 MHz
2024-08-19 13:27:39, Temp: 43.8°C, Freq: 1800.457088 MHz
2024-08-19 13:28:39, Temp: 46.2°C, Freq: 1800.404352 MHz
2024-08-19 13:29:39, Temp: 47.2°C, Freq: 1800.404352 MHz
2024-08-19 13:30:39, Temp: 48.2°C, Freq: 700.154304 MHz
2024-08-19 13:31:39, Temp: 47.2°C, Freq: 1800.404352 MHz
2024-08-19 13:32:39, Temp: 46.2°C, Freq: 600.117184 MHz
2024-08-19 13:33:39, Temp: 47.2°C, Freq: 600.16992 MHz
2024-08-19 13:34:39, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-19 13:35:39, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 13:36:39, Temp: 48.2°C, Freq: 600.16992 MHz
2024-08-19 13:37:39, Temp: 52.1°C, Freq: 1800.457088 MHz
2024-08-19 13:38:39, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 13:39:39, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 13:40:39, Temp: 48.2°C, Freq: 1800.404352 MHz
2024-08-19 13:41:39, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 13:42:39, Temp: 48.2°C, Freq: 600.117184 MHz
